id,type,mode,workdir,command,raw_tok,rtk_tok,prism_tok,raw_bytes,rtk_bytes,prism_bytes,raw_lines,rtk_lines,prism_lines,raw_ms,rtk_ms,prism_ms,rtk_pct,prism_pct,rtk_exit,prism_exit
191,docker,cmd,prism,"docker compose ls",57,57,53,240,240,190,2,2,2,172,166,675,0.0,7.0,0,0
192,docker,cmd,prism,"docker system df",102,102,82,287,287,179,5,5,5,12546,2389,3259,0.0,19.6,0,0
193,docker,cmd,prism,"docker network inspect bridge",369,369,290,1440,1440,812,48,48,27,47,58,1121,0.0,21.4,0,0
194,docker,cmd,prism,"docker top conman-server",50,50,36,303,303,87,2,2,2,70,71,645,0.0,28.0,0,0
195,docker,cmd,prism,"docker port conman-server",26,26,26,47,47,47,2,2,2,45,62,762,0.0,0.0,0,0
196,docker,cmd,local_stack,"docker compose -f docker-compose.yml ps -a",440,440,440,1660,1660,1660,11,11,11,194,287,812,0.0,0.0,0,0
197,docker,cmd,local_stack,"docker compose -f docker-compose.yml config",959,959,959,3444,3444,3444,163,163,163,182,248,772,0.0,0.0,0,0
198,docker,cmd,prism,"docker image history conman-server:latest",496,496,431,1773,1773,1312,16,16,16,58,62,703,0.0,13.1,0,0
199,docker,cmd,prism,"podman ps -a",171,171,117,727,727,333,5,5,5,189,182,1044,0.0,31.6,0,0
200,pip,cmd,ai-tester,".venv/bin/pip list",1826,1826,1649,5713,5713,2927,171,171,170,1569,1103,1775,0.0,9.7,0,0
201,pip,cmd,ai-tester,".venv/bin/pip show requests",119,119,119,381,381,381,10,10,10,3188,3221,2441,0.0,0.0,0,0
202,pip,cmd,ai-tester,"uv pip list --python .venv/bin/python",1829,1829,1652,5713,5713,2927,171,171,170,99,43,734,0.0,9.7,0,0
203,pip,cmd,ai-tester,"uv --version",17,17,17,38,38,38,1,1,1,19,31,621,0.0,0.0,0,0
